run_id,conductivity,timestamp
JUL_22_1,56.32,2025-07-22 13:20:55
JUL_22_1,56.17,2025-07-22 13:20:57
JUL_22_1,56.32,2025-07-22 13:20:59
JUL_22_1,56.17,2025-07-22 13:21:01
JUL_22_1,56.17,2025-07-22 13:21:03
JUL_22_1,56.39,2025-07-22 13:21:05
JUL_22_1,56.32,2025-07-22 13:21:07
JUL_22_1,56.39,2025-07-22 13:21:09
JUL_22_1,56.24,2025-07-22 13:21:11
JUL_22_1,56.24,2025-07-22 13:21:13
JUL_22_1,56.24,2025-07-22 13:21:15
JUL_22_1,56.24,2025-07-22 13:21:17
JUL_22_1,56.1,2025-07-22 13:21:19
JUL_22_1,56.1,2025-07-22 13:21:21
JUL_22_1,56.32,2025-07-22 13:21:23
JUL_22_1,56.32,2025-07-22 13:21:25
JUL_22_1,56.32,2025-07-22 13:21:27
JUL_22_1,56.17,2025-07-22 13:21:29
JUL_22_1,56.17,2025-07-22 13:21:31
JUL_22_1,56.17,2025-07-22 13:21:33
JUL_22_1,56.17,2025-07-22 13:21:35
JUL_22_1,56.17,2025-07-22 13:21:37
JUL_22_1,56.32,2025-07-22 13:21:39
JUL_22_1,56.32,2025-07-22 13:21:41
JUL_22_1,56.32,2025-07-22 13:21:43
JUL_22_1,56.17,2025-07-22 13:21:45
JUL_22_1,56.17,2025-07-22 13:21:47
JUL_22_1,56.17,2025-07-22 13:21:49
JUL_22_1,56.17,2025-07-22 13:21:51
JUL_22_1,56.32,2025-07-22 13:21:53
JUL_22_1,56.32,2025-07-22 13:21:55
JUL_22_1,56.32,2025-07-22 13:21:57
JUL_22_1,56.24,2025-07-22 13:21:59
JUL_22_1,56.24,2025-07-22 13:22:01
JUL_22_1,56.11,2025-07-22 13:22:03
JUL_22_1,56.11,2025-07-22 13:22:05
JUL_22_1,56.1,2025-07-22 13:22:07
JUL_22_1,56.1,2025-07-22 13:22:09
JUL_22_1,56.1,2025-07-22 13:22:11
JUL_22_1,56.1,2025-07-22 13:22:13
JUL_22_1,56.1,2025-07-22 13:22:15
JUL_22_1,56.1,2025-07-22 13:22:17
JUL_22_1,56.24,2025-07-22 13:22:19
JUL_22_1,56.24,2025-07-22 13:22:21
JUL_22_1,56.24,2025-07-22 13:22:23
JUL_22_1,56.24,2025-07-22 13:22:25
JUL_22_1,56.1,2025-07-22 13:22:27
JUL_22_1,56.24,2025-07-22 13:22:29
JUL_22_1,56.1,2025-07-22 13:22:31
JUL_22_1,56.24,2025-07-22 13:22:33
JUL_22_1,56.32,2025-07-22 13:22:35
JUL_22_1,56.24,2025-07-22 13:22:37
JUL_22_1,56.24,2025-07-22 13:22:39
JUL_22_1,56.24,2025-07-22 13:22:41
JUL_22_1,56.1,2025-07-22 13:22:43
JUL_22_1,56.17,2025-07-22 13:22:45
JUL_22_1,56.1,2025-07-22 13:22:47
JUL_22_1,56.17,2025-07-22 13:22:49
JUL_22_1,56.32,2025-07-22 13:22:51
JUL_22_1,56.24,2025-07-22 13:22:53
JUL_22_1,56.32,2025-07-22 13:22:55
JUL_22_1,56.24,2025-07-22 13:22:57
JUL_22_1,56.17,2025-07-22 13:22:59
JUL_22_1,56.17,2025-07-22 13:23:01
JUL_22_1,56.17,2025-07-22 13:23:03
JUL_22_1,56.32,2025-07-22 13:23:05
JUL_22_1,56.22,2025-07-22 13:23:07
JUL_22_1,56.32,2025-07-22 13:23:09
JUL_22_1,56.32,2025-07-22 13:23:11
JUL_22_1,56.02,2025-07-22 13:23:13
JUL_22_1,56.32,2025-07-22 13:23:15
JUL_22_1,56.24,2025-07-22 13:23:17
JUL_22_1,56.17,2025-07-22 13:23:19
JUL_22_1,56.24,2025-07-22 13:23:22
JUL_22_1,56.17,2025-07-22 13:23:23
JUL_22_1,56.17,2025-07-22 13:23:25
JUL_22_1,56.17,2025-07-22 13:23:27
JUL_22_1,56.17,2025-07-22 13:23:29
JUL_22_1,56.17,2025-07-22 13:23:31
JUL_22_1,56.1,2025-07-22 13:23:33
JUL_22_1,56.1,2025-07-22 13:23:35
JUL_22_1,56.03,2025-07-22 13:23:37
JUL_22_1,56.24,2025-07-22 13:23:39
JUL_22_1,56.24,2025-07-22 13:23:41
JUL_22_1,56.24,2025-07-22 13:23:44
JUL_22_1,56.17,2025-07-22 13:23:45
JUL_22_1,56.17,2025-07-22 13:23:47
JUL_22_1,56.39,2025-07-22 13:23:50
JUL_22_1,56.17,2025-07-22 13:23:51
